Product_ID,Product_Name,Therapy_Area,Launch_Year,Unit_Price_INR
P001,CardioX,Cardiovascular,2020,850.0
P002,HeartPlus,Cardiovascular,2021,920.0
P003,VasoCare,Cardiovascular,2023,1100.0
P004,GlucoFree,Diabetes,2019,1275.0
P005,SugarSafe,Diabetes,2022,860.0
P006,DiaControl,Diabetes,2024,980.0
P007,AirFlow,Respiratory,2021,1275.0
P008,RespiClear,Respiratory,2022,720.0
P009,LungEase,Respiratory,2024,810.0
P010,OncoLife,Oncology,2018,2500.0
P011,TumorX,Oncology,2020,2800.0
P012,ChemoCare,Oncology,2023,3100.0
P013,NeuroZen,Neurology,2020,1500.0
P014,BrainActive,Neurology,2021,1650.0
P015,NeuroPlus,Neurology,2024,1800.0
P016,RenalCare,Nephrology,2019,1200.0
P017,KidneyPlus,Nephrology,2022,1350.0
P018,NephroAid,Nephrology,2023,1500.0
