HCP_ID,Brand_Awareness,Adoption_Mindset,Evidence_Preference,Digital_Engagement,Segment
HCP01448,High,Evidence Driven,Medium,Low,Low Priority
HCP01115,Medium,Cost Conscious,Low,Low,Maintain
HCP01065,Low,Early Adopter,High,Low,Growth Potential
HCP02288,High,Early Adopter,Medium,Medium,Maintain
HCP01538,High,Evidence Driven,Low,Low,Low Priority
HCP00669,High,Conservative,Medium,High,Maintain
HCP01584,High,Early Adopter,Low,Medium,Champions
HCP02405,Low,Conservative,Low,High,Low Priority
HCP00498,Low,Cost Conscious,High,High,Low Priority
HCP02481,Medium,Conservative,High,High,Maintain
HCP00472,Low,Cost Conscious,High,Low,Champions
HCP00247,High,Evidence Driven,Medium,Low,Champions
HCP00924,Medium,Early Adopter,Low,Medium,Growth Potential
HCP01132,Medium,Cost Conscious,Low,Medium,Growth Potential
HCP00671,High,Evidence Driven,Medium,Medium,Low Priority
HCP00917,Medium,Conservative,Low,Medium,Champions
HCP01415,Low,Early Adopter,Low,Low,Maintain
HCP01607,High,Conservative,Low,Medium,Low Priority
HCP00403,Low,Cost Conscious,Medium,High,Champions
HCP01104,High,Conservative,High,Low,Maintain
HCP02073,High,Conservative,High,Medium,Low Priority
HCP00720,Medium,Evidence Driven,Low,Low,Growth Potential
HCP02012,High,Early Adopter,High,Medium,Growth Potential
HCP02437,Medium,Early Adopter,High,Medium,Maintain
HCP00197,Low,Conservative,Low,Low,Low Priority
HCP00892,Low,Conservative,Low,High,Champions
HCP01265,Low,Cost Conscious,Medium,High,Maintain
HCP01035,High,Evidence Driven,High,High,Champions
HCP01326,Low,Cost Conscious,Medium,Medium,Champions
HCP00510,Medium,Cost Conscious,High,High,Champions
HCP01428,Low,Cost Conscious,Low,Medium,Growth Potential
HCP00195,Low,Cost Conscious,Low,High,Low Priority
HCP01180,High,Early Adopter,Low,Medium,Low Priority
HCP02033,Low,Evidence Driven,Medium,Medium,Low Priority
HCP00933,Medium,Early Adopter,High,Low,Maintain
HCP01125,High,Early Adopter,High,High,Maintain
HCP01823,High,Conservative,Medium,Medium,Champions
HCP01367,Medium,Conservative,Medium,High,Growth Potential
HCP01993,High,Cost Conscious,Low,Medium,Maintain
HCP01259,High,Conservative,High,High,Maintain
HCP02275,Medium,Evidence Driven,Medium,High,Champions
HCP01274,High,Conservative,Medium,High,Maintain
HCP01937,Medium,Evidence Driven,Medium,High,Growth Potential
HCP01267,Low,Evidence Driven,High,Low,Growth Potential
HCP00773,High,Early Adopter,Medium,Medium,Champions
HCP01609,High,Conservative,Medium,High,Champions
HCP01312,High,Conservative,Medium,Medium,Champions
HCP00135,High,Cost Conscious,Medium,High,Champions
HCP01856,High,Conservative,Medium,Low,Growth Potential
HCP02400,Low,Conservative,Low,Medium,Growth Potential
HCP00421,Medium,Conservative,Medium,Medium,Champions
HCP01756,Low,Conservative,Low,High,Growth Potential
HCP00708,High,Cost Conscious,Low,Low,Growth Potential
HCP00094,Low,Early Adopter,High,High,Maintain
HCP00057,Low,Evidence Driven,Low,Low,Growth Potential
HCP00219,High,Cost Conscious,Low,Low,Growth Potential
HCP01037,Medium,Conservative,Medium,Medium,Low Priority
HCP01294,High,Evidence Driven,Low,High,Low Priority
HCP01953,Low,Cost Conscious,Medium,High,Champions
HCP01450,High,Cost Conscious,Medium,High,Maintain
HCP02360,High,Early Adopter,Low,High,Maintain
HCP01466,High,Cost Conscious,Medium,High,Maintain
HCP00299,High,Evidence Driven,Low,High,Maintain
HCP02178,Low,Early Adopter,High,High,Growth Potential
HCP00179,High,Cost Conscious,Low,Medium,Low Priority
HCP01188,Medium,Conservative,Medium,Low,Growth Potential
HCP01473,Medium,Conservative,Low,Low,Growth Potential
HCP00189,High,Early Adopter,Low,Medium,Maintain
HCP00573,Medium,Cost Conscious,Medium,Low,Growth Potential
HCP00434,High,Early Adopter,High,Low,Growth Potential
HCP00519,High,Early Adopter,Low,Low,Low Priority
HCP02347,Low,Evidence Driven,Low,High,Maintain
HCP02272,Medium,Early Adopter,Medium,Medium,Growth Potential
HCP01085,High,Evidence Driven,Low,Medium,Growth Potential
HCP01289,High,Conservative,Low,High,Maintain
HCP01124,High,Early Adopter,Medium,Low,Low Priority
HCP01342,Low,Early Adopter,High,High,Growth Potential
HCP02257,Low,Evidence Driven,Medium,Medium,Growth Potential
HCP01491,High,Evidence Driven,Low,High,Growth Potential
HCP00044,Medium,Evidence Driven,Low,High,Champions
HCP01879,Medium,Early Adopter,Low,Low,Champions
HCP00451,Low,Cost Conscious,Low,High,Maintain
HCP02046,High,Early Adopter,Low,Low,Low Priority
HCP00045,High,Evidence Driven,Medium,Low,Maintain
HCP01284,Medium,Early Adopter,Low,Medium,Low Priority
HCP01968,Medium,Conservative,Medium,High,Low Priority
HCP02091,Medium,Early Adopter,High,Medium,Maintain
HCP00255,Medium,Evidence Driven,High,Medium,Maintain
HCP01946,Medium,Cost Conscious,Medium,High,Growth Potential
HCP01875,Low,Evidence Driven,Medium,Low,Champions
HCP01863,High,Evidence Driven,Medium,Low,Maintain
HCP00565,Medium,Cost Conscious,Medium,Low,Low Priority
HCP00213,Medium,Cost Conscious,Medium,High,Growth Potential
HCP00867,Low,Early Adopter,High,Medium,Maintain
HCP00743,High,Early Adopter,Medium,Low,Growth Potential
HCP01252,Low,Cost Conscious,Medium,Low,Maintain
HCP01048,Low,Cost Conscious,Low,Medium,Champions
HCP01737,Low,Conservative,Medium,High,Maintain
HCP01018,Medium,Early Adopter,High,High,Growth Potential
HCP00171,Medium,Evidence Driven,Low,Low,Growth Potential
HCP02097,High,Cost Conscious,Medium,High,Growth Potential
HCP02488,Low,Early Adopter,High,Low,Maintain
HCP02218,Medium,Early Adopter,Medium,High,Maintain
HCP01798,Low,Cost Conscious,Low,Medium,Growth Potential
HCP00545,High,Cost Conscious,Medium,Medium,Champions
HCP01222,Low,Evidence Driven,High,Medium,Champions
HCP00464,Low,Early Adopter,High,Medium,Champions
HCP00989,Medium,Early Adopter,High,Low,Low Priority
HCP01322,Medium,Evidence Driven,Medium,Medium,Growth Potential
HCP00603,High,Conservative,High,Medium,Low Priority
HCP01337,Medium,Cost Conscious,High,Medium,Low Priority
HCP02340,High,Cost Conscious,High,Low,Maintain
HCP01261,High,Evidence Driven,Medium,Low,Maintain
HCP02115,Low,Evidence Driven,Medium,High,Maintain
HCP00808,High,Conservative,High,High,Maintain
HCP00887,Medium,Conservative,Low,High,Low Priority
HCP01583,High,Cost Conscious,Low,Low,Champions
HCP01615,Low,Conservative,Low,High,Low Priority
HCP01838,Low,Conservative,High,Medium,Maintain
HCP01874,High,Cost Conscious,Medium,High,Maintain
HCP00283,Medium,Cost Conscious,Medium,Medium,Low Priority
