Product_ID,Product_Name,Therapy_Area,Launch_Year,Unit_Price_INR
P001,CardioX,Cardiovascular,2020,850
P002,HeartPlus,Cardiovascular,2021,920
P003,VasoCare,Cardiovascular,2023,1100
P004,GlucoFree,Diabetes,2019,780
P005,SugarSafe,Diabetes,2022,860
P006,DiaControl,Diabetes,2024,980
P007,AirFlow,Respiratory,2021,650
P008,RespiClear,Respiratory,2022,720
P009,LungEase,Respiratory,2024,810
P010,OncoLife,Oncology,2018,2500
P011,TumorX,Oncology,2020,2800
P012,ChemoCare,Oncology,2023,3100
P013,NeuroZen,Neurology,2020,1500
P014,BrainActive,Neurology,2021,1650
P015,NeuroPlus,Neurology,2024,1800
P016,RenalCare,Nephrology,2019,1200
P017,KidneyPlus,Nephrology,2022,1350
P018,NephroAid,Nephrology,2023,1500
